p_rdata,action_times,actions,beliefs,correct,delays,information_used_correctly,key_press,meta_actions,path,planned_too_little,planned_too_much,queries,questions,responses,rt,score,time_elapsed,trial_index,trial_id,trial_type,view_history,pid
,,,,,,,32.0,,,,,,,,2036,,1118463,,,text,,0
,,,,,,,32.0,,,,,,,,2683,,592480,,,text,,2
,,,,,,,32.0,,,,,,,,6051,,335953,,,text,,3
,,,,,,,32.0,,,,,,,,4652,,837371,,,text,,4
,,,,,,,32.0,,,,,,,,11693,,1730760,,,text,,5
,,,,,,,32.0,,,,,,,,4225,,250465,,,text,,6
,,,,,,,32.0,,,,,,,,2930,,256916,,,text,,7
,,,,,,,32.0,,,,,,,,6028,,454008,,,text,,8
,,,,,,,32.0,,,,,,,,10454,,1404452,,,text,,9
,,,,,,,32.0,,,,,,,,8787,,1062282,,,text,,10
,,,,,,,32.0,,,,,,,,4577,,1017341,,,text,,12
,,,,,,,32.0,,,,,,,,2822,,677697,,,text,,14
,,,,,,,32.0,,,,,,,,4657,,399577,,,text,,15
,,,,,,,32.0,,,,,,,,5685,,982397,,,text,,19
,,,,,,,32.0,,,,,,,,4853,,954547,,,text,,20
,,,,,,,32.0,,,,,,,,5726,,1052955,,,text,,23
,,,,,,,32.0,,,,,,,,6652,,788357,,,text,,24
,,,,,,,32.0,,,,,,,,3253,,319261,,,text,,25
,,,,,,,32.0,,,,,,,,2463,,527698,,,text,,26
,,,,,,,32.0,,,,,,,,4012,,252357,,,text,,27
,,,,,,,32.0,,,,,,,,9166,,772311,,,text,,29
,,,,,,,32.0,,,,,,,,8171,,936311,,,text,,30
,,,,,,,32.0,,,,,,,,6501,,833273,,,text,,34
,,,,,,,32.0,,,,,,,,3820,,339958,,,text,,36
,,,,,,,32.0,,,,,,,,5767,,443308,,,text,,38
,,,,,,,32.0,,,,,,,,4094,,731385,,,text,,40
,,,,,,,32.0,,,,,,,,3177,,471351,,,text,,42
,,,,,,,32.0,,,,,,,,3716,,832079,,,text,,44
,,,,,,,32.0,,,,,,,,13064,,1000976,,,text,,45
,,,,,,,32.0,,,,,,,,3522,,836533,,,text,,46
,,,,,,,32.0,,,,,,,,1212,,403655,,,text,,47
,,,,,,,32.0,,,,,,,,8495,,915298,,,text,,49
,,,,,,,32.0,,,,,,,,13427,,391611,,,text,,50
,,,,,,,32.0,,,,,,,,10631,,1019083,,,text,,52
,,,,,,,32.0,,,,,,,,6333,,311013,,,text,,54
,,,,,,,32.0,,,,,,,,4179,,946022,,,text,,56
,,,,,,,32.0,,,,,,,,8358,,955839,,,text,,58
,,,,,,,32.0,,,,,,,,6023,,1190222,,,text,,59
,,,,,,,32.0,,,,,,,,6168,,779665,,,text,,61
,,,,,,,32.0,,,,,,,,6450,,848251,,,text,,62
,,,,,,,32.0,,,,,,,,8050,,385731,,,text,,63
,,,,,,,32.0,,,,,,,,4120,,364385,,,text,,64
,,,,,,,32.0,,,,,,,,4255,,248531,,,text,,65
,,,,,,,32.0,,,,,,,,21452,,274334,,,text,,66
,,,,,,,32.0,,,,,,,,2136,,724732,,,text,,67
,,,,,,,32.0,,,,,,,,4459,,938243,,,text,,68
,,,,,,,32.0,,,,,,,,2751,,423573,,,text,,69
,,,,,,,32.0,,,,,,,,2470,,1020942,,,text,,70
,,,,,,,32.0,,,,,,,,3127,,381591,,,text,,71
,,,,,,,32.0,,,,,,,,3712,,1668317,,,text,,73
,,,,,,,32.0,,,,,,,,4862,,1059449,,,text,,74
,,,,,,,32.0,,,,,,,,5601,,911102,,,text,,75
,,,,,,,32.0,,,,,,,,14757,,441961,,,text,,79
,,,,,,,32.0,,,,,,,,4184,,1092228,,,text,,80
,,,,,,,32.0,,,,,,,,6006,,257679,,,text,,82
,,,,,,,32.0,,,,,,,,4924,,929508,,,text,,84
,,,,,,,32.0,,,,,,,,5118,,291984,,,text,,86
,,,,,,,32.0,,,,,,,,7748,,901475,,,text,,87
,,,,,,,32.0,,,,,,,,7355,,927682,,,text,,88
,,,,,,,32.0,,,,,,,,4354,,1255689,,,text,,89
,,,,,,,32.0,,,,,,,,3970,,848733,,,text,,90
,,,,,,,32.0,,,,,,,,3013,,824824,,,text,,95
,,,,,,,32.0,,,,,,,,2148,,243622,,,text,,96
,,,,,,,32.0,,,,,,,,3843,,361439,,,text,,97
,,,,,,,32.0,,,,,,,,7346,,1333913,,,text,,98
,,,,,,,32.0,,,,,,,,4137,,336600,,,text,,99
,,,,,,,32.0,,,,,,,,40397,,476174,,,text,,101
,,,,,,,32.0,,,,,,,,1662,,1635788,,,text,,102
,,,,,,,32.0,,,,,,,,7837,,783304,,,text,,103
,,,,,,,32.0,,,,,,,,5496,,424629,,,text,,104
,,,,,,,32.0,,,,,,,,8466,,901364,,,text,,105
,,,,,,,32.0,,,,,,,,4742,,627661,,,text,,109
,,,,,,,32.0,,,,,,,,8325,,1194888,,,text,,110
,,,,,,,32.0,,,,,,,,3104,,294052,,,text,,113
,,,,,,,32.0,,,,,,,,5953,,807919,,,text,,114
,,,,,,,32.0,,,,,,,,2893,,1760955,,,text,,118
,,,,,,,32.0,,,,,,,,8174,,925939,,,text,,119
,,,,,,,32.0,,,,,,,,1586,,570159,,,text,,121
,,,,,,,32.0,,,,,,,,4469,,405919,,,text,,122
,,,,,,,32.0,,,,,,,,5151,,307827,,,text,,125
,,,,,,,32.0,,,,,,,,6060,,929791,,,text,,127
,,,,,,,32.0,,,,,,,,7952,,835323,,,text,,128
,,,,,,,32.0,,,,,,,,3211,,274151,,,text,,129
,,,,,,,32.0,,,,,,,,4697,,800798,,,text,,130
,,,,,,,32.0,,,,,,,,4423,,367806,,,text,,132
,,,,,,,32.0,,,,,,,,3916,,374970,,,text,,133
,,,,,,,32.0,,,,,,,,4461,,359065,,,text,,135
,,,,,,,32.0,,,,,,,,2604,,242422,,,text,,136
,,,,,,,32.0,,,,,,,,4586,,815972,,,text,,137
,,,,,,,32.0,,,,,,,,6278,,353984,,,text,,138
,,,,,,,32.0,,,,,,,,3369,,925389,,,text,,139
,,,,,,,32.0,,,,,,,,7762,,841678,,,text,,142
,,,,,,,32.0,,,,,,,,6063,,916073,,,text,,143
,,,,,,,32.0,,,,,,,,3124,,263290,,,text,,144
,,,,,,,32.0,,,,,,,,2732,,225085,,,text,,149
,,,,,,,32.0,,,,,,,,6844,,358739,,,text,,150
,,,,,,,32.0,,,,,,,,3133,,1015124,,,text,,152
,,,,,,,32.0,,,,,,,,3316,,367298,,,text,,154
,,,,,,,32.0,,,,,,,,5238,,254172,,,text,,155
,,,,,,,32.0,,,,,,,,3804,,281546,,,text,,156
,,,,,,,32.0,,,,,,,,3585,,372028,,,text,,157
,,,,,,,32.0,,,,,,,,4560,,306474,,,text,,158
,,,,,,,32.0,,,,,,,,10094,,1066756,,,text,,159
